case_status,location,date,text
Closed,"122 Brown Ave, Roslindale",2016-03-07 12:40:38,"Closed Illegal Parking report at 122 Brown Ave, Roslindale https://t.co/2v4gn5Itdx. Case closed. case noted. clear now."
Opened,Intersection Of Clarendon St &amp; Commonwealth Ave,2016-03-07 12:32:15,Opened Traffic Signal report via iphone at Intersection Of Clarendon St &amp; Commonwealth Ave https://t.co/cW80HJhRrp. Flashing red.
Opened,62a Phillips St https://t.co/mYmPCyvvaA. Idling car.,2016-03-07 12:27:18,Opened report via android at 62a Phillips St https://t.co/mYmPCyvvaA. Idling car. https://t.co/kmWshKnuCL
Closed,"Intersection Of Ball St &amp; Shawmut Ave, Mission Hill",2016-03-07 11:56:33,"Closed report at Intersection Of Ball St &amp; Shawmut Ave, Mission Hill https://t.co/7L6bxZ9IzU. Case closed. duplicate of existing case."
Opened,Intersection Of Fairfield St &amp; Beacon St,2016-03-07 11:45:25,"Opened Litter report via iphone at Intersection Of Fairfield St &amp; Beacon St https://t.co/vYzGUB5zx6. Couch , table , trash etc."
Opened,"55 W Broadway, 1, South Boston https://t.co/SfHfjs6zMd. Outdated. 50 west broadway.",2016-03-07 11:20:32,"Opened report via android at 55 W Broadway, 1, South Boston https://t.co/SfHfjs6zMd. Outdated. 50 west broadway. https://t.co/NCeZiUdshu"
Opened,"62 64 Brooks St, Brighton https://t.co/kvVgTsy8LF. In 64 bus stop.",2016-03-07 10:32:45,"Opened Illegal Parking report via iphone at 62 64 Brooks St, Brighton https://t.co/kvVgTsy8LF. In 64 bus stop. https://t.co/D7G9csifHx"
Closed,89 Charles St S,2016-03-07 05:48:40,Closed Illegal Parking report at 89 Charles St S https://t.co/Mc1ufE9cUR. Case closed. case resolved. area checked violators cited.
Closed,"13 Charter St, 1 https://t.co/PFHOpeXk36. Case closed. duplicate of existing case.",2016-03-07 05:45:22,"Closed Illegal Parking report at 13 Charter St, 1 https://t.co/PFHOpeXk36. Case closed. duplicate of existing case. https://t.co/9nPfjrSJnH"
Closed,94 Appleton St,2016-03-07 05:34:57,Closed Illegal Parking report at 94 Appleton St https://t.co/t3TILlHdSp. Case closed. case resolved. area checked all clear.
Closed,"28 Emerson St, South Boston",2016-03-07 04:33:34,"Closed Illegal Parking report at 28 Emerson St, South Boston https://t.co/jj1r2yhflZ. Case closed. case resolved. vehicle tagged."
